Scanning Geometry: QFANLNRUHU
------------------------------------------------------------
PARAMETER NAME            | GROUP NAME      | VALUE
------------------------------------------------------------
X_Location                | XForm           | 0.0
Y_Location                | XForm           | 0.0
Z_Location                | XForm           | 0.0
X_Rotation                | XForm           | 0.0
Y_Rotation                | XForm           | 0.0
Z_Rotation                | XForm           | 0.0
Origin                    | XForm           | 0.0
X_Rel_Location            | XForm           | 0.0
Y_Rel_Location            | XForm           | 0.0
Z_Rel_Location            | XForm           | 0.0
X_Rel_Rotation            | XForm           | 0.0
Y_Rel_Rotation            | XForm           | 0.0
Z_Rel_Rotation            | XForm           | 0.0
Abs_Or_Relitive_flag      | XForm           | 1.0
Trans_Attach_Flag         | Attach          | 0.0
Rots_Attach_Flag          | Attach          | 0.0
U_Attach_Location         | Attach          | 0.0
U_01                      | Attach          | 1.0
U_Attach_Location0N       | Attach          | 0.0
V_Attach_Location         | Attach          | 0.0
R_Attach_Location         | Attach          | 0.0
R_01                      | Attach          | 1.0
R_Attach_Location0N       | Attach          | 0.0
S_Attach_Location         | Attach          | 0.5
T_Attach_Location         | Attach          | 0.5
L_Attach_Location         | Attach          | 0.0
L_01                      | Attach          | 1.0
L_Attach_Location0Len     | Attach          | 0.0
M_Attach_Location         | Attach          | 0.5
N_Attach_Location         | Attach          | 0.5
Eta_Attach_Location       | Attach          | 0.0
Scale                     | XForm           | 1.0
Last_Scale                | XForm           | 1.0
Tess_U                    | Shape           | 12.0
Tess_W                    | Shape           | 17.0
Wake                      | Shape           | 0.0
WakeScale                 | WakeSettings    | 2.0
WakeAngle                 | WakeSettings    | 0.0
X_Len                     | BBox            | 1.4909081751580202
Y_Len                     | BBox            | 23.558113098058605
Z_Len                     | BBox            | 26.956448485872617
X_Min                     | BBox            | -0.758703899800526
Y_Min                     | BBox            | -8.531086148618053
Z_Min                     | BBox            | -13.478221257100047
Sym_Ancestor              | Sym             | 1.0
Sym_Ancestor_Origin_Flag  | Sym             | 1.0
Sym_Planar_Flag           | Sym             | 0.0
Sym_Axial_Flag            | Sym             | 0.0
Sym_Rot_N                 | Sym             | 2.0
Density                   | Mass_Props      | 1.0
Mass_Area                 | Mass_Props      | 1.0
Mass_Prior                | Mass_Props      | 0.0
Shell_Flag                | Mass_Props      | 0.0
PointMass                 | Mass_Props      | 0.0
CGx                       | Mass_Props      | 0.0
CGy                       | Mass_Props      | 0.0
CGz                       | Mass_Props      | 0.0
Ixx                       | Mass_Props      | 0.0
Iyy                       | Mass_Props      | 0.0
Izz                       | Mass_Props      | 0.0
Ixy                       | Mass_Props      | 0.0
Ixz                       | Mass_Props      | 0.0
Iyz                       | Mass_Props      | 0.0
Negative_Volume_Flag      | Negative_Volume_Props | 0.0
CapUMinOption             | EndCap          | 1.0
CapUMinLength             | EndCap          | 1.0
CapUMinOffset             | EndCap          | 0.0
CapUMinStrength           | EndCap          | 0.5
CapUMinSweepFlag          | EndCap          | 0.0
CapUMinTess               | EndCap          | 3.0
CapUMaxOption             | EndCap          | 2.0
CapUMaxLength             | EndCap          | 1.0
CapUMaxOffset             | EndCap          | 0.0
CapUMaxStrength           | EndCap          | 1.0
CapUMaxSweepFlag          | EndCap          | 0.0
PercLam                   | ParasiteDragProps | 0.0
FFBodyEqnType             | ParasiteDragProps | 3.0
FFWingEqnType             | ParasiteDragProps | 3.0
