Scanning Geometry: KXNNOVZWDG
------------------------------------------------------------
PARAMETER NAME            | GROUP NAME      | VALUE
------------------------------------------------------------
X_Location                | XForm           | 0.0
Y_Location                | XForm           | 0.0
Z_Location                | XForm           | 0.0
X_Rotation                | XForm           | 0.0
Y_Rotation                | XForm           | 0.0
Z_Rotation                | XForm           | 0.0
Origin                    | XForm           | 0.0
X_Rel_Location            | XForm           | 0.0
Y_Rel_Location            | XForm           | 0.0
Z_Rel_Location            | XForm           | 0.0
X_Rel_Rotation            | XForm           | 0.0
Y_Rel_Rotation            | XForm           | 0.0
Z_Rel_Rotation            | XForm           | 0.0
Abs_Or_Relitive_flag      | XForm           | 1.0
Trans_Attach_Flag         | Attach          | 0.0
Rots_Attach_Flag          | Attach          | 0.0
U_Attach_Location         | Attach          | 1e-06
V_Attach_Location         | Attach          | 1e-06
Scale                     | XForm           | 1.0
Last_Scale                | XForm           | 1.0
Tess_U                    | Shape           | 16.0
Tess_W                    | Shape           | 33.0
Wake                      | Shape           | 0.0
WakeScale                 | WakeSettings    | 2.0
WakeAngle                 | WakeSettings    | 0.0
X_Len                     | BBox            | 6.196152422706632
Y_Len                     | BBox            | 18.0
Z_Len                     | BBox            | 0.40023217747850676
X_Min                     | BBox            | 0.0
Y_Min                     | BBox            | -9.0
Z_Min                     | BBox            | -0.20011608873925338
Sym_Ancestor              | Sym             | 1.0
Sym_Ancestor_Origin_Flag  | Sym             | 1.0
Sym_Planar_Flag           | Sym             | 2.0
Sym_Axial_Flag            | Sym             | 0.0
Sym_Rot_N                 | Sym             | 2.0
Density                   | Mass_Props      | 1.0
Mass_Area                 | Mass_Props      | 1.0
Mass_Prior                | Mass_Props      | 0.0
Shell_Flag                | Mass_Props      | 0.0
Negative_Volume_Flag      | Negative_Volume_Props | 0.0
CapUMinOption             | EndCap          | 1.0
CapUMinLength             | EndCap          | 1.0
CapUMinOffset             | EndCap          | 0.0
CapUMinStrength           | EndCap          | 0.5
CapUMinSweepFlag          | EndCap          | 0.0
CapUMinTess               | EndCap          | 3.0
CapUMaxOption             | EndCap          | 1.0
CapUMaxLength             | EndCap          | 1.0
CapUMaxOffset             | EndCap          | 0.0
CapUMaxStrength           | EndCap          | 0.5
CapUMaxSweepFlag          | EndCap          | 0.0
PercLam                   | ParasiteDragProps | 0.0
FFBodyEqnType             | ParasiteDragProps | 3.0
FFWingEqnType             | ParasiteDragProps | 3.0
FFUser                    | ParasiteDragProps | 1.0
Q                         | ParasiteDragProps | 1.0
Roughness                 | ParasiteDragProps | 0.0
TeTwRatio                 | ParasiteDragProps | 1.0
TawTwRatio                | ParasiteDragProps | 1.0
IncorporatedGen           | ParasiteDragProps | 0.0
ExpandedList              | ParasiteDragProps | 0.0
ActiveXSec                | Index           | 0.0
RelativeDihedralFlag      | WingGeom        | 0.0
RelativeTwistFlag         | WingGeom        | 0.0
RotateAirfoilMatchDideralFlag | WingGeom        | 0.0
CorrectAirfoilthicknessFlag | WingGeom        | 1.0
TotalSpan                 | WingGeom        | 18.0
TotalProjectedSpan        | WingGeom        | 18.0
TotalChord                | WingGeom        | 2.5
TotalArea                 | WingGeom        | 45.0
TotalAR                   | WingGeom        | 7.2
LECluster                 | WingGeom        | 0.25
TECluster                 | WingGeom        | 0.25
SmallPanelW               | WingGeom        | 0.010926691997491744
